job_id	title	company	city	salary_low	salary_high	edu	exp	tags	category	company_tier	desc	publish_time
	行政专员	小米	上海	8	13	硕士	不限	沟通协调;PPT;绩效考核;招聘;组织管理	职能管理	头部大厂	"负责行政专员相关工作
协调各部门之间的沟通
协助部门完成日常管理工作

任职要求：
硕士及以上学历
熟练使用办公软件
具备良好的沟通协调能力
工作认真负责，细致耐心"	2026-02-06
	市场经理	爱奇艺	重庆	3	6	不限	不限	媒介投放;营销策划;BD;公关;市场调研;品牌推广	市场推广	中型企业	"负责市场经理相关的市场推广工作
拓展市场渠道和合作伙伴
制定市场推广策略和计划

任职要求：
不限以上市场推广经验
熟悉各类营销渠道和推广方式
具备良好的商务谈判能力
有相关行业资源者优先"	2026-03-06
	市场经理	爱奇艺	成都	11	17	硕士	3-5年	BD;市场调研;品牌推广	市场推广	中型企业	"制定市场推广策略和计划
组织市场活动和品牌宣传
分析市场动态和竞争对手

任职要求：
具备良好的商务谈判能力
3-5年以上市场推广经验
熟悉各类营销渠道和推广方式
具备市场策划和执行能力"	2026-02-12
	Python开发工程师	搜狐	杭州	27	44	本科	5-10年	Jenkins;深度学习;机器学习;Docker;Linux	后端开发	头部大厂	"持续优化系统性能和用户体验
编写高质量、可维护的代码
参与需求分析、系统设计、编码实现和测试

任职要求：
有大型项目经验者优先
熟悉相关技术栈和开发工具
具备良好的编程基础和算法能力
5-10年以上相关工作经验"	2026-02-26
	产品助理	拼多多	上海	9	15	不限	不限	Figma;用户研究;PRD文档;数据分析;原型设计;产品设计	产品经理	头部大厂	"进行用户调研和需求分析
编写产品需求文档（PRD）
负责产品助理的产品规划和设计

任职要求：
具备良好的产品思维和用户洞察力
不限以上产品经理经验
有相关行业产品经验者优先
不限及以上学历"	2026-02-12
	Java开发工程师	华为	西安	8	14	硕士	不限	高并发;Java;TensorFlow	后端开发	头部大厂	"编写高质量、可维护的代码
参与技术方案评审，解决技术难题
参与需求分析、系统设计、编码实现和测试

任职要求：
熟悉相关技术栈和开发工具
具备良好的编程基础和算法能力
不限以上相关工作经验
硕士及以上学历，计算机相关专业优先"	2026-02-26
	数据分析师	百度	南京	18	30	大专	10年以上	JavaScript;Django;TypeScript;深度学习;数据结构	数据分析	头部大厂	"参与技术方案评审，解决技术难题
参与需求分析、系统设计、编码实现和测试
编写高质量、可维护的代码

任职要求：
熟悉相关技术栈和开发工具
有大型项目经验者优先
具备良好的沟通能力和团队协作精神
10年以上以上相关工作经验"	2026-02-07
	UX设计	滴滴	北京	6	10	不限	不限	Illustrator;After Effects;C4D;3D Max;Photoshop	UI设计	头部大厂	"根据需求进行创意设计和视觉表现
负责UX设计相关的设计工作
持续优化设计质量和用户体验

任职要求：
熟练使用设计软件和工具
具备良好的沟通理解能力
有优秀作品集者优先
不限以上设计经验"	2026-03-05
	活动运营	新浪	郑州	6	11	博士	应届生	SEO;内容策划;社群运营;用户增长	运营	头部大厂	"制定运营策略和执行计划
分析运营数据，优化运营效果
负责活动运营相关的运营工作

任职要求：
博士及以上学历
有成功运营案例者优先
应届生以上运营经验
熟悉新媒体运营和内容策划"	2026-02-15
	数据工程师	云从科技	重庆	7	12	硕士	不限	Git;JavaScript;PyTorch;Python;Linux;算法	后端开发	中型企业	"编写高质量、可维护的代码
持续优化系统性能和用户体验
负责数据工程师相关的系统设计和开发工作

任职要求：
硕士及以上学历，计算机相关专业优先
不限以上相关工作经验
有大型项目经验者优先
具备良好的编程基础和算法能力"	2026-02-08
	用户研究	拼多多	西安	15	24	博士	3-5年	需求分析;Axure;原型设计;数据分析;用户研究;PRD文档	运营	头部大厂	"负责用户研究的产品规划和设计
进行用户调研和需求分析
协调开发、设计、测试等团队资源

任职要求：
熟练使用Axure、Figma等设计工具
有相关行业产品经验者优先
具备良好的产品思维和用户洞察力
具备优秀的沟通协调能力"	2026-02-04
	数据工程师	平安科技	上海	23	38	硕士	3-5年	Pandas;高并发;深度学习	后端开发	中型企业	"参与技术方案评审，解决技术难题
持续优化系统性能和用户体验
负责数据工程师相关的系统设计和开发工作

任职要求：
3-5年以上相关工作经验
具备良好的沟通能力和团队协作精神
具备良好的编程基础和算法能力
熟悉相关技术栈和开发工具"	2026-02-10
	后端开发工程师	优酷	杭州	8	13	不限	1-3年	Java;Scikit-learn;PyTorch	后端开发	中型企业	"参与需求分析、系统设计、编码实现和测试
持续优化系统性能和用户体验
参与技术方案评审，解决技术难题

任职要求：
具备良好的沟通能力和团队协作精神
不限及以上学历，计算机相关专业优先
熟悉相关技术栈和开发工具
有大型项目经验者优先"	2026-02-27
	行政助理	优酷	深圳	12	20	博士	不限	组织管理;薪酬管理;培训;沟通协调;PPT;Excel	职能管理	中型企业	"协助部门完成日常管理工作
完成上级交办的其他任务
负责行政助理相关工作

任职要求：
具备良好的沟通协调能力
熟练使用办公软件
有相关行业经验者优先
工作认真负责，细致耐心"	2026-02-26
	数据运营	美的	苏州	4	7	不限	不限	新媒体;数据分析;社群运营;SEM;活动策划;用户增长	运营	中型企业	"分析运营数据，优化运营效果
制定运营策略和执行计划
维护用户关系，提升用户活跃度

任职要求：
不限以上运营经验
具备良好的文案写作能力
熟悉新媒体运营和内容策划
不限及以上学历"	2026-02-07
	会计	网易	重庆	18	29	博士	5-10年	PPT;沟通协调;招聘;薪酬管理	职能管理	头部大厂	"负责会计相关工作
协调各部门之间的沟通
完成上级交办的其他任务

任职要求：
有相关行业经验者优先
5-10年以上相关工作经验
熟练使用办公软件
具备良好的沟通协调能力"	2026-03-02
	新媒体运营	美团	苏州	9	15	博士	不限	新媒体;SEM;SEO;活动策划;内容策划;数据分析	运营	头部大厂	"负责新媒体运营相关的运营工作
制定运营策略和执行计划
分析运营数据，优化运营效果

任职要求：
有成功运营案例者优先
具备数据分析能力和运营思维
不限以上运营经验
具备良好的文案写作能力"	2026-03-04
	法务专员	快手	郑州	7	11	大专	5-10年	招聘;绩效考核;组织管理	职能管理	头部大厂	"整理和归档相关文件资料
完成上级交办的其他任务
协助部门完成日常管理工作

任职要求：
熟练使用办公软件
5-10年以上相关工作经验
工作认真负责，细致耐心
具备良好的沟通协调能力"	2026-02-21
	产品总监	依图科技	深圳	22	37	大专	10年以上	原型设计;需求分析;Axure;PRD文档;用户研究;数据分析	产品经理	中型企业	"负责产品总监的产品规划和设计
协调开发、设计、测试等团队资源
进行用户调研和需求分析

任职要求：
有相关行业产品经验者优先
具备优秀的沟通协调能力
10年以上以上产品经理经验
大专及以上学历"	2026-02-20
	会计	当当网	重庆	10	17	硕士	5-10年	培训;组织管理;薪酬管理;Excel;绩效考核;PPT	职能管理	中型企业	"整理和归档相关文件资料
完成上级交办的其他任务
负责会计相关工作

任职要求：
有相关行业经验者优先
熟练使用办公软件
具备良好的沟通协调能力
硕士及以上学历"	2026-02-16
	销售经理	商汤科技	青岛	10	16	硕士	1-3年	渠道拓展;营销策划;市场调研;品牌推广;公关	市场推广	中型企业	"负责销售经理相关的市场推广工作
拓展市场渠道和合作伙伴
制定市场推广策略和计划

任职要求：
硕士及以上学历
具备良好的商务谈判能力
具备市场策划和执行能力
熟悉各类营销渠道和推广方式"	2026-03-02
	会计	宁德时代	深圳	8	13	本科	1-3年	绩效考核;组织管理;薪酬管理;沟通协调;Excel	职能管理	中型企业	"负责会计相关工作
协调各部门之间的沟通
完成上级交办的其他任务

任职要求：
1-3年以上相关工作经验
有相关行业经验者优先
熟练使用办公软件
具备良好的沟通协调能力"	2026-02-23
	用户运营	360	上海	29	47	博士	3-5年	用户增长;新媒体;SEM;活动策划;内容策划	运营	头部大厂	"维护用户关系，提升用户活跃度
分析运营数据，优化运营效果
策划和执行线上线下活动

任职要求：
3-5年以上运营经验
博士及以上学历
熟悉新媒体运营和内容策划
具备数据分析能力和运营思维"	2026-02-25
	Java开发工程师	滴滴	杭州	16	26	博士	应届生	Kubernetes;Git;Docker;Pandas	后端开发	头部大厂	"持续优化系统性能和用户体验
参与技术方案评审，解决技术难题
编写高质量、可维护的代码

任职要求：
有大型项目经验者优先
应届生以上相关工作经验
熟悉相关技术栈和开发工具
具备良好的编程基础和算法能力"	2026-03-03
	运营专员	中兴通讯	重庆	7	12	硕士	1-3年	用户增长;新媒体;数据分析;社群运营;SEO	运营	中型企业	"负责运营专员相关的运营工作
策划和执行线上线下活动
制定运营策略和执行计划

任职要求：
1-3年以上运营经验
硕士及以上学历
熟悉新媒体运营和内容策划
具备良好的文案写作能力"	2026-02-13
	平面设计	华为	北京	16	26	硕士	1-3年	Figma;Adobe XD;Illustrator	UI设计	头部大厂	"根据需求进行创意设计和视觉表现
制作设计稿和交互原型
负责平面设计相关的设计工作

任职要求：
具备良好的沟通理解能力
硕士及以上学历，设计相关专业优先
具备良好的审美能力和创意思维
有优秀作品集者优先"	2026-03-02
	产品经理	阿里巴巴	天津	4	7	大专	1-3年	产品设计;需求分析;原型设计;PRD文档;数据分析	产品经理	头部大厂	"协调开发、设计、测试等团队资源
负责产品经理的产品规划和设计
编写产品需求文档（PRD）

任职要求：
大专及以上学历
熟练使用Axure、Figma等设计工具
具备优秀的沟通协调能力
1-3年以上产品经理经验"	2026-02-18
	视觉设计	比亚迪	苏州	4	7	大专	不限	Photoshop;Figma;C4D	UI设计	中型企业	"与产品、开发团队协作
负责视觉设计相关的设计工作
根据需求进行创意设计和视觉表现

任职要求：
有优秀作品集者优先
熟练使用设计软件和工具
大专及以上学历，设计相关专业优先
具备良好的沟通理解能力"	2026-02-24
	用户运营	平安科技	天津	12	19	不限	10年以上	SEM;社群运营;SEO;活动策划;内容策划	运营	中型企业	"负责用户运营相关的运营工作
制定运营策略和执行计划
策划和执行线上线下活动

任职要求：
熟悉新媒体运营和内容策划
10年以上以上运营经验
有成功运营案例者优先
具备良好的文案写作能力"	2026-02-08
	人力资源	360	成都	13	21	博士	3-5年	培训;招聘;沟通协调;PPT;薪酬管理;Excel	职能管理	头部大厂	"整理和归档相关文件资料
协助部门完成日常管理工作
完成上级交办的其他任务

任职要求：
博士及以上学历
工作认真负责，细致耐心
具备良好的沟通协调能力
熟练使用办公软件"	2026-03-03
	销售经理	当当网	青岛	7	12	大专	3-5年	市场调研;渠道拓展;媒介投放;营销策划	市场推广	中型企业	"负责销售经理相关的市场推广工作
拓展市场渠道和合作伙伴
组织市场活动和品牌宣传

任职要求：
具备市场策划和执行能力
大专及以上学历
有相关行业资源者优先
熟悉各类营销渠道和推广方式"	2026-02-27
	UX设计	爱奇艺	天津	3	6	不限	应届生	Adobe XD;Sketch;C4D;Photoshop;Illustrator	UI设计	中型企业	"根据需求进行创意设计和视觉表现
与产品、开发团队协作
负责UX设计相关的设计工作

任职要求：
应届生以上设计经验
不限及以上学历，设计相关专业优先
具备良好的沟通理解能力
具备良好的审美能力和创意思维"	2026-02-18
	品牌经理	平安科技	深圳	21	34	硕士	3-5年	品牌推广;市场调研;渠道拓展	市场推广	中型企业	"分析市场动态和竞争对手
负责品牌经理相关的市场推广工作
拓展市场渠道和合作伙伴

任职要求：
硕士及以上学历
具备市场策划和执行能力
熟悉各类营销渠道和推广方式
具备良好的商务谈判能力"	2026-02-21
	品牌经理	商汤科技	广州	5	8	不限	应届生	渠道拓展;营销策划;BD;媒介投放;公关	市场推广	中型企业	"拓展市场渠道和合作伙伴
负责品牌经理相关的市场推广工作
组织市场活动和品牌宣传

任职要求：
熟悉各类营销渠道和推广方式
具备良好的商务谈判能力
不限及以上学历
有相关行业资源者优先"	2026-02-28
	UX设计师	小米	杭州	17	28	硕士	3-5年	原型设计;需求分析;Axure;Figma;数据分析;PRD文档	UI设计	头部大厂	"跟踪产品上线后的数据表现
编写产品需求文档（PRD）
负责UX设计师的产品规划和设计

任职要求：
熟练使用Axure、Figma等设计工具
硕士及以上学历
有相关行业产品经验者优先
具备优秀的沟通协调能力"	2026-02-20
	媒介专员	小米	武汉	17	28	博士	3-5年	市场调研;BD;媒介投放;公关;品牌推广	市场推广	头部大厂	"组织市场活动和品牌宣传
负责媒介专员相关的市场推广工作
分析市场动态和竞争对手

任职要求：
熟悉各类营销渠道和推广方式
具备良好的商务谈判能力
有相关行业资源者优先
具备市场策划和执行能力"	2026-03-04
	运营经理	格力	成都	3	6	本科	应届生	新媒体;数据分析;SEM;用户增长	运营	大型企业	"制定运营策略和执行计划
负责运营经理相关的运营工作
策划和执行线上线下活动

任职要求：
具备数据分析能力和运营思维
应届生以上运营经验
具备良好的文案写作能力
有成功运营案例者优先"	2026-03-02
	会计	中兴通讯	南京	16	26	不限	10年以上	PPT;培训;薪酬管理;招聘;组织管理	职能管理	大型企业	"协调各部门之间的沟通
整理和归档相关文件资料
协助部门完成日常管理工作

任职要求：
工作认真负责，细致耐心
不限及以上学历
具备良好的沟通协调能力
熟练使用办公软件"	2026-03-04
	Java开发工程师	美团	成都	6	10	硕士	应届生	Git;TensorFlow;深度学习;微服务;算法;Python	后端开发	头部大厂	"参与技术方案评审，解决技术难题
参与需求分析、系统设计、编码实现和测试
持续优化系统性能和用户体验

任职要求：
具备良好的沟通能力和团队协作精神
熟悉相关技术栈和开发工具
应届生以上相关工作经验
硕士及以上学历，计算机相关专业优先"	2026-02-20
	机器学习工程师	搜狐	天津	6	10	本科	应届生	机器学习;Spark;PyTorch;Vue;Docker;分布式系统	前端开发	头部大厂	"编写高质量、可维护的代码
参与技术方案评审，解决技术难题
参与需求分析、系统设计、编码实现和测试

任职要求：
具备良好的编程基础和算法能力
具备良好的沟通能力和团队协作精神
本科及以上学历，计算机相关专业优先
有大型项目经验者优先"	2026-02-14
	机器学习工程师	360	天津	23	38	博士	3-5年	MongoDB;JavaScript;TensorFlow;Pandas	算法工程师	头部大厂	"参与需求分析、系统设计、编码实现和测试
编写高质量、可维护的代码
持续优化系统性能和用户体验

任职要求：
有大型项目经验者优先
熟悉相关技术栈和开发工具
3-5年以上相关工作经验
具备良好的编程基础和算法能力"	2026-02-12
	BD经理	比亚迪	长沙	7	11	硕士	1-3年	品牌推广;公关;渠道拓展;市场调研;营销策划	市场推广	中型企业	"拓展市场渠道和合作伙伴
组织市场活动和品牌宣传
负责BD经理相关的市场推广工作

任职要求：
1-3年以上市场推广经验
有相关行业资源者优先
具备良好的商务谈判能力
硕士及以上学历"	2026-02-25
	动效设计师	蚂蚁集团	重庆	3	5	不限	应届生	Sketch;Illustrator;C4D;Adobe XD;3D Max;After Effects	UI设计	头部大厂	"与产品、开发团队协作
负责动效设计师相关的设计工作
根据需求进行创意设计和视觉表现

任职要求：
具备良好的审美能力和创意思维
应届生以上设计经验
熟练使用设计软件和工具
有优秀作品集者优先"	2026-02-25
	产品助理	旷视科技	长沙	13	22	博士	1-3年	PRD文档;数据分析;原型设计;Axure;Figma;产品设计	产品经理	大型企业	"进行用户调研和需求分析
跟踪产品上线后的数据表现
协调开发、设计、测试等团队资源

任职要求：
博士及以上学历
熟练使用Axure、Figma等设计工具
具备良好的产品思维和用户洞察力
具备优秀的沟通协调能力"	2026-02-05
	动效设计师	快手	上海	10	16	硕士	应届生	C4D;Photoshop;Illustrator;Figma	UI设计	头部大厂	"制作设计稿和交互原型
负责动效设计师相关的设计工作
根据需求进行创意设计和视觉表现

任职要求：
硕士及以上学历，设计相关专业优先
熟练使用设计软件和工具
具备良好的审美能力和创意思维
有优秀作品集者优先"	2026-02-22
	算法工程师	蚂蚁集团	青岛	5	9	大专	不限	Redis;Hadoop;分布式系统	算法工程师	头部大厂	"参与技术方案评审，解决技术难题
参与需求分析、系统设计、编码实现和测试
编写高质量、可维护的代码

任职要求：
熟悉相关技术栈和开发工具
有大型项目经验者优先
大专及以上学历，计算机相关专业优先
具备良好的沟通能力和团队协作精神"	2026-03-06
	交互设计	大华股份	重庆	17	29	不限	10年以上	Figma;产品设计;数据分析;需求分析	UI设计	中型企业	"协调开发、设计、测试等团队资源
跟踪产品上线后的数据表现
负责交互设计的产品规划和设计

任职要求：
不限及以上学历
熟练使用Axure、Figma等设计工具
有相关行业产品经验者优先
具备良好的产品思维和用户洞察力"	2026-02-18
	产品助理	商汤科技	武汉	12	20	大专	10年以上	原型设计;用户研究;数据分析;产品设计;PRD文档;Figma	产品经理	中型企业	"跟踪产品上线后的数据表现
负责产品助理的产品规划和设计
进行用户调研和需求分析

任职要求：
熟练使用Axure、Figma等设计工具
大专及以上学历
有相关行业产品经验者优先
10年以上以上产品经理经验"	2026-02-26
	算法工程师	蚂蚁集团	广州	22	36	大专	10年以上	深度学习;MongoDB;分布式系统;Scikit-learn;Vue	前端开发	头部大厂	"参与技术方案评审，解决技术难题
持续优化系统性能和用户体验
编写高质量、可维护的代码

任职要求：
10年以上以上相关工作经验
有大型项目经验者优先
大专及以上学历，计算机相关专业优先
具备良好的编程基础和算法能力"	2026-02-10
	产品经理	平安科技	长沙	3	6	本科	应届生	PRD文档;原型设计;产品设计;需求分析;数据分析;Figma	产品经理	中型企业	"负责产品经理的产品规划和设计
编写产品需求文档（PRD）
进行用户调研和需求分析

任职要求：
本科及以上学历
具备良好的产品思维和用户洞察力
熟练使用Axure、Figma等设计工具
应届生以上产品经理经验"	2026-02-11
	用户研究	比亚迪	重庆	20	33	博士	3-5年	需求分析;Axure;Figma;PRD文档;原型设计;用户研究	运营	中型企业	"负责用户研究的产品规划和设计
跟踪产品上线后的数据表现
进行用户调研和需求分析

任职要求：
有相关行业产品经验者优先
具备良好的产品思维和用户洞察力
具备优秀的沟通协调能力
3-5年以上产品经理经验"	2026-02-15
	品牌经理	商汤科技	南京	5	8	大专	不限	渠道拓展;品牌推广;营销策划;媒介投放;市场调研	市场推广	中型企业	"分析市场动态和竞争对手
制定市场推广策略和计划
负责品牌经理相关的市场推广工作

任职要求：
不限以上市场推广经验
具备良好的商务谈判能力
熟悉各类营销渠道和推广方式
大专及以上学历"	2026-03-02
