antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'After Effects'}),frozenset({'Sketch'}),0.0912,0.0964,0.0516,0.5657894736842105,5.869185411661935,1.0,0.04280832,2.0810181818181817,0.9128725843432688,0.3794117647058824,0.519465995666457,0.5505295916138895
frozenset({'Sketch'}),frozenset({'After Effects'}),0.0964,0.0912,0.0516,0.5352697095435685,5.869185411661935,1.0,0.04280832,1.9555428571428572,0.9181259458290868,0.3794117647058824,0.4886330430717082,0.5505295916138895
frozenset({'Adobe XD'}),frozenset({'After Effects'}),0.0946,0.0912,0.0504,0.53276955602537,5.841771447646601,1.0,0.04177248,1.9450787330316746,0.9154175476243072,0.37223042836041353,0.4858819938659441,0.5427005674863692
frozenset({'After Effects'}),frozenset({'Adobe XD'}),0.0912,0.0946,0.0504,0.5526315789473684,5.841771447646599,1.0,0.04177248,2.0238352941176467,0.911992790073776,0.37223042836041353,0.5058886447397486,0.5427005674863692
frozenset({'Axure'}),frozenset({'原型设计'}),0.1002,0.0958,0.056,0.5588822355289421,5.833843794665367,1.0,0.04640084,2.0497927601809955,0.9208562220175911,0.39999999999999997,0.5121458035046915,0.5717166918772059
frozenset({'原型设计'}),frozenset({'Axure'}),0.0958,0.1002,0.056,0.5845511482254697,5.833843794665366,1.0,0.04640084,2.1658502512562814,0.9163751698423231,0.39999999999999997,0.538287561930951,0.5717166918772059
frozenset({'PRD文档'}),frozenset({'需求分析'}),0.0976,0.0978,0.0556,0.5696721311475409,5.8248684166415226,1.0,0.04605471999999999,2.096540952380952,0.9179103525690087,0.3977110157367667,0.5230238651602094,0.5690896443058768
frozenset({'需求分析'}),frozenset({'PRD文档'}),0.0978,0.0976,0.0556,0.5685071574642127,5.8248684166415226,1.0,0.04605471999999999,2.0913440758293835,0.9181138352452597,0.3977110157367667,0.5218386053459804,0.5690896443058768
frozenset({'需求分析'}),frozenset({'Axure'}),0.0978,0.1002,0.057,0.5828220858895706,5.816587683528649,1.0,0.04720044,2.156873529411765,0.917842933647575,0.40425531914893614,0.5363659545338637,0.5758421806693362
frozenset({'Axure'}),frozenset({'需求分析'}),0.1002,0.0978,0.057,0.5688622754491018,5.816587683528649,1.0,0.04720044,2.092602777777778,0.9202910588317872,0.40425531914893614,0.5221262197396385,0.5758421806693362
frozenset({'PPT'}),frozenset({'培训'}),0.095,0.0978,0.054,0.5684210526315789,5.812076202776881,1.0,0.044709,2.0904634146341463,0.914855739717618,0.38904899135446686,0.5216371676253369,0.5602841459476913
frozenset({'培训'}),frozenset({'PPT'}),0.0978,0.095,0.054,0.5521472392638037,5.812076202776881,1.0,0.044709,2.0207534246575345,0.9176950171186482,0.38904899135446686,0.5051350710097279,0.5602841459476913
frozenset({'用户研究'}),frozenset({'产品设计'}),0.0936,0.095,0.0516,0.5512820512820513,5.802968960863698,1.0,0.042707999999999996,2.016857142857143,0.9131447689813009,0.3766423357664234,0.504179062190112,0.5472199730094467
frozenset({'产品设计'}),frozenset({'用户研究'}),0.095,0.0936,0.0516,0.5431578947368421,5.802968960863697,1.0,0.042707999999999996,1.9840552995391703,0.9145573686239238,0.3766423357664234,0.4959817903098434,0.5472199730094467
frozenset({'原型设计'}),frozenset({'需求分析'}),0.0958,0.0978,0.0542,0.5657620041753654,5.78488756825527,1.0,0.04483076,2.0776625,0.914770839811915,0.38880918220946914,0.5186898738365832,0.5599771166071101
frozenset({'需求分析'}),frozenset({'原型设计'}),0.0978,0.0958,0.0542,0.5541922290388548,5.78488756825527,1.0,0.04483076,2.0282284403669726,0.9167987068919681,0.38880918220946914,0.5069588907751104,0.5599771166071101
frozenset({'绩效考核'}),frozenset({'Excel'}),0.0954,0.0976,0.0538,0.5639412997903565,5.778087088015947,1.0,0.04448896,2.069446153846154,0.9141414348965675,0.38649425287356326,0.5167789226400227,0.5575854039935388
frozenset({'Excel'}),frozenset({'绩效考核'}),0.0976,0.0954,0.0538,0.5512295081967212,5.778087088015946,1.0,0.04448896,2.0157296803652964,0.9163700598486646,0.38649425287356326,0.50390173358028,0.5575854039935388
frozenset({'品牌推广'}),frozenset({'BD'}),0.1136,0.1156,0.0758,0.6672535211267606,5.772089283103466,1.0,0.06266784,2.6578793650793653,0.9327081527485402,0.4941329856584094,0.6237602002790147,0.6614814318436572
frozenset({'BD'}),frozenset({'品牌推广'}),0.1156,0.1136,0.0758,0.6557093425605537,5.772089283103465,1.0,0.06266784,2.5745688442211057,0.9348173977796315,0.4941329856584094,0.6115854496396138,0.6614814318436572
frozenset({'招聘'}),frozenset({'培训'}),0.096,0.0978,0.054,0.5625,5.751533742331288,1.0,0.044611200000000004,2.0621714285714288,0.9138643067846609,0.38626609442060084,0.5150742629128796,0.5573236196319018
frozenset({'培训'}),frozenset({'招聘'}),0.0978,0.096,0.054,0.5521472392638037,5.751533742331288,1.0,0.044611200000000004,2.0185205479452057,0.9156875785117861,0.38626609442060084,0.5045876540528802,0.5573236196319018
frozenset({'需求分析'}),frozenset({'用户研究'}),0.0978,0.0936,0.0526,0.5378323108384458,5.746071696991943,1.0,0.04344592,1.9611929203539824,0.9155043901978518,0.37896253602305474,0.49010625644135686,0.5498990614021289
frozenset({'用户研究'}),frozenset({'需求分析'}),0.0936,0.0978,0.0526,0.561965811965812,5.746071696991942,1.0,0.04344592,2.0596565853658535,0.9112622030411539,0.37896253602305474,0.5144821679958014,0.5498990614021289
frozenset({'沟通协调'}),frozenset({'培训'}),0.096,0.0978,0.0538,0.5604166666666667,5.730231765507839,1.0,0.0444112,2.0523981042654027,0.913149323946442,0.38428571428571423,0.5127650927362744,0.5552594580777096
frozenset({'培训'}),frozenset({'沟通协调'}),0.0978,0.096,0.0538,0.5501022494887525,5.730231765507838,1.0,0.0444112,2.0093454545454543,0.9149711691948388,0.38428571428571423,0.5023254972220714,0.5552594580777096
frozenset({'PPT'}),frozenset({'组织管理'}),0.095,0.0964,0.0524,0.5515789473684211,5.721773312950426,1.0,0.043242,2.0150704225352114,0.9118552570536881,0.376978417266187,0.5037394282519047,0.5475737060493557
frozenset({'组织管理'}),frozenset({'PPT'}),0.0964,0.095,0.0524,0.5435684647302905,5.721773312950426,1.0,0.043242,1.9827727272727276,0.9132680474032624,0.376978417266187,0.49565576213291773,0.5475737060493557
frozenset({'After Effects'}),frozenset({'Photoshop'}),0.0912,0.0996,0.0518,0.5679824561403508,5.702635101810752,1.0,0.04271648,2.08417461928934,0.9073970852139867,0.37266187050359706,0.5201937540430374,0.5440313887127457
frozenset({'Photoshop'}),frozenset({'After Effects'}),0.0996,0.0912,0.0518,0.5200803212851406,5.702635101810752,1.0,0.04271648,1.8936502092050211,0.9158623623305988,0.37266187050359706,0.4719193676112902,0.5440313887127457
frozenset({'沟通协调'}),frozenset({'Excel'}),0.096,0.0976,0.0534,0.55625,5.699282786885246,1.0,0.044030400000000004,2.0335774647887326,0.912101024162275,0.3808844507845935,0.5082557624113475,0.5516905737704918
frozenset({'Excel'}),frozenset({'沟通协调'}),0.0976,0.096,0.0534,0.5471311475409836,5.699282786885245,1.0,0.044030400000000004,1.9961628959276017,0.913718224559726,0.3808844507845935,0.49903888002321195,0.5516905737704918
frozenset({'Excel'}),frozenset({'培训'}),0.0976,0.0978,0.0544,0.5573770491803278,5.699151832109692,1.0,0.04485472,2.0383037037037033,0.9137137567793076,0.3858156028368794,0.5093959755933583,0.5568071339971168
frozenset({'培训'}),frozenset({'Excel'}),0.0978,0.0976,0.0544,0.5562372188139059,5.699151832109691,1.0,0.04485472,2.0335188940092164,0.9139163091527899,0.3858156028368794,0.5082415988629276,0.5568071339971168
frozenset({'绩效考核'}),frozenset({'组织管理'}),0.0954,0.0964,0.0524,0.549266247379455,5.697782649164471,1.0,0.04320344,2.004731162790698,0.9114449809540045,0.37589670014347204,0.5011799993132525,0.5464173560548727
frozenset({'组织管理'}),frozenset({'绩效考核'}),0.0964,0.0954,0.0524,0.5435684647302905,5.697782649164471,1.0,0.04320344,1.9818963636363638,0.9124536628718376,0.37589670014347204,0.4954327489832971,0.5464173560548727
frozenset({'绩效考核'}),frozenset({'薪酬管理'}),0.0954,0.101,0.0548,0.5744234800838575,5.687361188949083,1.0,0.0451646,2.1124285714285715,0.9110894681038197,0.3870056497175141,0.5266112125515656,0.5584988687548
frozenset({'薪酬管理'}),frozenset({'绩效考核'}),0.101,0.0954,0.0548,0.5425742574257425,5.687361188949083,1.0,0.0451646,1.9775887445887441,0.9167647751353897,0.3870056497175141,0.49433369160484475,0.5584988687548
frozenset({'绩效考核'}),frozenset({'沟通协调'}),0.0954,0.096,0.052,0.5450733752620545,5.677847658979734,1.0,0.042841599999999994,1.9871336405529954,0.9107637884998043,0.37302725968436146,0.496762583254485,0.5433700209643606
frozenset({'沟通协调'}),frozenset({'绩效考核'}),0.096,0.0954,0.052,0.5416666666666666,5.677847658979734,1.0,0.042841599999999994,1.973672727272727,0.911368277739959,0.37302725968436146,0.49333038543739405,0.5433700209643606
frozenset({'组织管理'}),frozenset({'Excel'}),0.0964,0.0976,0.0534,0.553941908713693,5.675634310591116,1.0,0.04399136,2.0230548837209303,0.9116957057330395,0.37980085348506404,0.5056980371384009,0.5505365281273382
frozenset({'Excel'}),frozenset({'组织管理'}),0.0976,0.0964,0.0534,0.5471311475409836,5.675634310591116,1.0,0.04399136,1.9952796380090496,0.9129080670438547,0.37980085348506404,0.4988171176859048,0.5505365281273382
frozenset({'招聘'}),frozenset({'PPT'}),0.096,0.095,0.0516,0.5375,5.657894736842105,1.0,0.042480000000000004,1.9567567567567568,0.9106812101255403,0.3701578192252511,0.4889502762430939,0.540328947368421
frozenset({'PPT'}),frozenset({'招聘'}),0.095,0.096,0.0516,0.5431578947368421,5.657894736842104,1.0,0.042480000000000004,1.9788018433179722,0.9096749325452911,0.3701578192252511,0.49464368886818816,0.540328947368421
frozenset({'营销策划'}),frozenset({'市场调研'}),0.1122,0.1106,0.0702,0.625668449197861,5.6570384195104975,1.0,0.05779068,2.375968571428572,0.9272685963382066,0.46002621231979024,0.5791190119157421,0.6301940799334693
frozenset({'市场调研'}),frozenset({'营销策划'}),0.1106,0.1122,0.0702,0.6347197106690777,5.657038419510497,1.0,0.05779068,2.4304623762376236,0.9256004720362714,0.46002621231979024,0.5885556551803084,0.6301940799334693
frozenset({'产品设计'}),frozenset({'PRD文档'}),0.095,0.0976,0.0524,0.5515789473684211,5.651423641069887,1.0,0.043128,2.0123943661971833,0.9094513095187886,0.37375178316690444,0.5030795072788354,0.5442320966350302
frozenset({'PRD文档'}),frozenset({'产品设计'}),0.0976,0.095,0.0524,0.5368852459016393,5.651423641069887,1.0,0.043128,1.9541592920353983,0.9120716257917817,0.37375178316690444,0.4882709899465628,0.5442320966350302
frozenset({'渠道拓展'}),frozenset({'BD'}),0.1124,0.1156,0.0734,0.6530249110320285,5.649004420692289,1.0,0.060406560000000005,2.548886153846154,0.9271942954886766,0.4747736093143598,0.6076717673360793,0.6439865039589209
frozenset({'BD'}),frozenset({'渠道拓展'}),0.1156,0.1124,0.0734,0.6349480968858132,5.649004420692289,1.0,0.060406560000000005,2.4314350710900476,0.9305491369015709,0.4747736093143598,0.5887202533639175,0.6439865039589209
frozenset({'PPT'}),frozenset({'薪酬管理'}),0.095,0.101,0.0542,0.5705263157894737,5.648775403856175,1.0,0.044605,2.0932598039215686,0.9093596460826487,0.38222849083215793,0.5222762133364557,0.5535799895779051
frozenset({'薪酬管理'}),frozenset({'PPT'}),0.101,0.095,0.0542,0.5366336633663366,5.648775403856174,1.0,0.044605,1.9530982905982903,0.9154287872133449,0.38222849083215793,0.48799299819484704,0.5535799895779051
frozenset({'用户研究'}),frozenset({'PRD文档'}),0.0936,0.0976,0.0516,0.5512820512820513,5.648381672971837,1.0,0.04246464,2.0110628571428575,0.9079414602105954,0.36962750716332377,0.5027505000909257,0.5399852879361076
frozenset({'PRD文档'}),frozenset({'用户研究'}),0.0976,0.0936,0.0516,0.5286885245901639,5.648381672971836,1.0,0.04246464,1.9231443478260868,0.9119660234207487,0.36962750716332377,0.4800182310129787,0.5399852879361076
frozenset({'沟通协调'}),frozenset({'组织管理'}),0.096,0.0964,0.0522,0.5437500000000001,5.640560165975105,1.0,0.0429456,1.9804931506849317,0.9100803580510629,0.3723252496433666,0.49507525453740603,0.542621887966805
frozenset({'组织管理'}),frozenset({'沟通协调'}),0.0964,0.096,0.0522,0.54149377593361,5.640560165975105,1.0,0.0429456,1.9716199095022628,0.9104832267354591,0.3723252496433666,0.49280284948408193,0.542621887966805
frozenset({'市场调研'}),frozenset({'公关'}),0.1106,0.1132,0.0706,0.6383363471971066,5.639013667818963,1.0,0.05808007999999999,2.452002,0.9249651705227001,0.46083550913838117,0.5921699900734175,0.631005629428942
frozenset({'公关'}),frozenset({'市场调研'}),0.1132,0.1106,0.0706,0.6236749116607774,5.639013667818963,1.0,0.05808007999999999,2.363382159624413,0.927677066602266,0.46083550913838117,0.5768775710150409,0.631005629428942
frozenset({'渠道拓展'}),frozenset({'品牌推广'}),0.1124,0.1136,0.072,0.6405693950177935,5.638815096987619,1.0,0.05923136,2.466122772277227,0.926833909168294,0.4675324675324674,0.5945051839099657,0.6371861059596009
frozenset({'品牌推广'}),frozenset({'渠道拓展'}),0.1136,0.1124,0.072,0.6338028169014084,5.638815096987619,1.0,0.05923136,2.4238307692307686,0.928088648215002,0.4675324675324674,0.5874299424306089,0.6371861059596009
frozenset({'招聘'}),frozenset({'Excel'}),0.096,0.0976,0.0528,0.5499999999999999,5.635245901639343,1.0,0.0434304,2.005333333333333,0.909895414320193,0.37500000000000006,0.5013297872340424,0.5454918032786884
frozenset({'Excel'}),frozenset({'招聘'}),0.0976,0.096,0.0528,0.540983606557377,5.635245901639343,1.0,0.0434304,1.9694285714285713,0.9115087040618957,0.37500000000000006,0.49223850282895687,0.5454918032786884
frozenset({'沟通协调'}),frozenset({'招聘'}),0.096,0.096,0.0518,0.5395833333333333,5.620659722222221,1.0,0.042584,1.9634389140271493,0.909385997881573,0.36947218259629105,0.4906895280235988,0.5395833333333333
frozenset({'招聘'}),frozenset({'沟通协调'}),0.096,0.096,0.0518,0.5395833333333333,5.620659722222221,1.0,0.042584,1.9634389140271493,0.909385997881573,0.36947218259629105,0.4906895280235988,0.5395833333333333
frozenset({'Excel'}),frozenset({'薪酬管理'}),0.0976,0.101,0.0554,0.5676229508196721,5.6200292160363565,1.0,0.0455424,2.079203791469194,0.9109762654581766,0.38687150837988826,0.5190466638706029,0.5580689011524103
frozenset({'薪酬管理'}),frozenset({'Excel'}),0.101,0.0976,0.0554,0.5485148514851484,5.6200292160363565,1.0,0.0455424,1.998736842105263,0.9144215594543476,0.38687150837988826,0.49968401095428683,0.5580689011524103
frozenset({'市场调研'}),frozenset({'品牌推广'}),0.1106,0.1136,0.0706,0.6383363471971066,5.6191579858900225,1.0,0.05803583999999999,2.4508959999999997,0.9242606181332419,0.4596354166666666,0.5919859512602738,0.6299076102182716
frozenset({'品牌推广'}),frozenset({'市场调研'}),0.1136,0.1106,0.0706,0.6214788732394365,5.6191579858900225,1.0,0.05803583999999999,2.349670697674418,0.9273887565068878,0.4596354166666666,0.5744084475370322,0.6299076102182716
frozenset({'营销策划'}),frozenset({'媒介投放'}),0.1122,0.1098,0.0692,0.6167557932263815,5.617083727016225,1.0,0.05688044,2.3228009302325585,0.925852304911667,0.45287958115183247,0.5694852765966991,0.6234962936988009
frozenset({'媒介投放'}),frozenset({'营销策划'}),0.1098,0.1122,0.0692,0.6302367941712204,5.617083727016224,1.0,0.05688044,2.4009960591133,0.92335618546459,0.45287958115183247,0.5835061885235643,0.6234962936988009
frozenset({'营销策划'}),frozenset({'渠道拓展'}),0.1122,0.1124,0.0708,0.6310160427807487,5.614021732924811,1.0,0.05818872,2.4055246376811596,0.9257429333984978,0.46033810143042914,0.584290269018419,0.6304546406074563
frozenset({'渠道拓展'}),frozenset({'营销策划'}),0.1124,0.1122,0.0708,0.6298932384341637,5.61402173292481,1.0,0.05818872,2.3987673076923075,0.9259515280207149,0.46033810143042914,0.5831192142759222,0.6304546406074563
frozenset({'薪酬管理'}),frozenset({'组织管理'}),0.101,0.0964,0.0546,0.5405940594059406,5.607822193007683,1.0,0.044863600000000003,1.966887931034483,0.9139907182176371,0.38235294117647056,0.491582624397898,0.5534920504498583
frozenset({'组织管理'}),frozenset({'薪酬管理'}),0.0964,0.101,0.0546,0.5663900414937759,5.607822193007682,1.0,0.044863600000000003,2.073291866028708,0.9093378216884194,0.38235294117647056,0.5176752408162135,0.5534920504498583
frozenset({'原型设计'}),frozenset({'PRD文档'}),0.0958,0.0976,0.0524,0.546972860125261,5.604230124234231,1.0,0.043049920000000005,1.9919336405529957,0.9086080057273015,0.37163120567375885,0.49797524393313497,0.5419290530134502
frozenset({'PRD文档'}),frozenset({'原型设计'}),0.0976,0.0958,0.0524,0.5368852459016393,5.604230124234231,1.0,0.043049920000000005,1.9524318584070797,0.910420388717449,0.37163120567375885,0.48781823258310036,0.5419290530134502
frozenset({'组织管理'}),frozenset({'培训'}),0.0964,0.0978,0.0528,0.5477178423236515,5.600386935824657,1.0,0.04337208,1.9947724770642203,0.9090758179403599,0.3734087694483735,0.4986896944398709,0.5437975714685742
frozenset({'培训'}),frozenset({'组织管理'}),0.0978,0.0964,0.0528,0.5398773006134969,5.600386935824657,1.0,0.04337208,1.9638239999999998,0.9104864875758248,0.3734087694483735,0.49078939864264826,0.5437975714685742
frozenset({'Adobe XD'}),frozenset({'Sketch'}),0.0946,0.0964,0.051,0.5391120507399577,5.592448659128192,1.0,0.04188056,1.9605633027522935,0.9069885696712968,0.3642857142857142,0.48994250856569027,0.5340788469467423
frozenset({'Sketch'}),frozenset({'Adobe XD'}),0.0964,0.0946,0.051,0.529045643153527,5.592448659128192,1.0,0.04188056,1.922479295154185,0.9087953198100843,0.3642857142857142,0.47983835117464874,0.5340788469467423
frozenset({'Axure'}),frozenset({'产品设计'}),0.1002,0.095,0.0532,0.530938123752495,5.588822355289421,1.0,0.043681,1.9293829787234045,0.9125043660495983,0.37464788732394366,0.4816995842569006,0.5454690618762474
frozenset({'产品设计'}),frozenset({'Axure'}),0.095,0.1002,0.0532,0.5599999999999999,5.5888223552894205,1.0,0.043681,2.045,0.9072612470402525,0.37464788732394366,0.5110024449877749,0.5454690618762474
frozenset({'媒介投放'}),frozenset({'品牌推广'}),0.1098,0.1136,0.0696,0.6338797814207651,5.579927653351805,1.0,0.05712671999999999,2.4210626865671645,0.9220244966260972,0.45253576072821844,0.5869582371624155,0.6232779188793967
frozenset({'品牌推广'}),frozenset({'媒介投放'}),0.1136,0.1098,0.0696,0.6126760563380281,5.579927653351804,1.0,0.05712671999999999,2.298334545454545,0.9259772189717415,0.45253576072821844,0.5649023324399327,0.6232779188793967
frozenset({'媒介投放'}),frozenset({'BD'}),0.1098,0.1156,0.0708,0.644808743169399,5.577930304233555,1.0,0.058107120000000005,2.489926153846154,0.9219524083333017,0.4579560155239328,0.5983816634660775,0.6286327452871217
frozenset({'BD'}),frozenset({'媒介投放'}),0.1156,0.1098,0.0708,0.6124567474048443,5.577930304233555,1.0,0.058107120000000005,2.297033928571429,0.9279986814770526,0.4579560155239328,0.5646559732698768,0.6286327452871217
frozenset({'招聘'}),frozenset({'薪酬管理'}),0.096,0.101,0.054,0.5625,5.569306930693069,1.0,0.044303999999999996,2.0548571428571427,0.9075712881022615,0.3776223776223776,0.5133481646273638,0.5485767326732673
frozenset({'薪酬管理'}),frozenset({'招聘'}),0.101,0.096,0.054,0.5346534653465346,5.5693069306930685,1.0,0.044303999999999996,1.9426382978723402,0.9126189593375355,0.3776223776223776,0.48523613423289225,0.5485767326732673
frozenset({'绩效考核'}),frozenset({'招聘'}),0.0954,0.096,0.051,0.5345911949685535,5.568658280922432,1.0,0.04184159999999999,1.9423783783783783,0.906946196563967,0.3632478632478632,0.4851672510714087,0.5329205974842768
frozenset({'招聘'}),frozenset({'绩效考核'}),0.096,0.0954,0.051,0.53125,5.568658280922432,1.0,0.04184159999999999,1.9298133333333332,0.9075481520041644,0.3632478632478632,0.4818151669246076,0.5329205974842768
frozenset({'公关'}),frozenset({'品牌推广'}),0.1132,0.1136,0.0716,0.6325088339222615,5.567859453541034,1.0,0.05874048,2.4120307692307694,0.9251215216093013,0.461340206185567,0.5854115906162698,0.6313952620315533
frozenset({'品牌推广'}),frozenset({'公关'}),0.1136,0.1132,0.0716,0.630281690140845,5.5678594535410335,1.0,0.05874048,2.398582857142857,0.925538995220136,0.461340206185567,0.5830871562255807,0.6313952620315533
frozenset({'市场调研'}),frozenset({'BD'}),0.1106,0.1156,0.071,0.6419529837251355,5.553226502812591,1.0,0.05821464,2.470066666666666,0.921884986555266,0.45747422680412364,0.5951526274594476,0.6280699174681041
frozenset({'BD'}),frozenset({'市场调研'}),0.1156,0.1106,0.071,0.6141868512110726,5.553226502812591,1.0,0.05821464,2.305260986547085,0.9270969098171116,0.45747422680412364,0.5662096370711408,0.6280699174681041
frozenset({'市场调研'}),frozenset({'渠道拓展'}),0.1106,0.1124,0.0688,0.6220614828209765,5.534354829368119,1.0,0.05636856,2.34853014354067,0.921194586368652,0.44617380025940334,0.5742017607266522,0.6170805634745452
frozenset({'渠道拓展'}),frozenset({'市场调研'}),0.1124,0.1106,0.0688,0.6120996441281139,5.534354829368119,1.0,0.05636856,2.292856880733945,0.9230627141913915,0.44617380025940334,0.563862878488997,0.6170805634745452
frozenset({'招聘'}),frozenset({'组织管理'}),0.096,0.0964,0.0512,0.5333333333333333,5.532503457814661,1.0,0.0419456,1.9362857142857142,0.90625,0.3626062322946175,0.4835472923122326,0.5322268326417704
frozenset({'组织管理'}),frozenset({'招聘'}),0.0964,0.096,0.0512,0.5311203319502075,5.532503457814661,1.0,0.0419456,1.9280000000000002,0.9066511730854361,0.3626062322946175,0.48132780082987553,0.5322268326417704
frozenset({'薪酬管理'}),frozenset({'培训'}),0.101,0.0978,0.0546,0.5405940594059406,5.527546619692645,1.0,0.044722200000000004,1.9638405172413795,0.9111100245694239,0.3786407766990292,0.4907936814519404,0.5494381339974488
frozenset({'培训'}),frozenset({'薪酬管理'}),0.0978,0.101,0.0546,0.558282208588957,5.527546619692644,1.0,0.044722200000000004,2.0352361111111112,0.9078784217334428,0.3786407766990292,0.5086565167841569,0.5494381339974488
frozenset({'Photoshop'}),frozenset({'C4D'}),0.0996,0.0916,0.0504,0.5060240963855422,5.524280528226444,1.0,0.04127664,1.8389560975609758,0.9095745806096763,0.3579545454545455,0.4562132280774353,0.528121218498448
frozenset({'C4D'}),frozenset({'Photoshop'}),0.0916,0.0996,0.0504,0.5502183406113537,5.524280528226443,1.0,0.04127664,2.001860194174757,0.9015642364387411,0.3579545454545455,0.5004646164053239,0.528121218498448
frozenset({'Photoshop'}),frozenset({'Sketch'}),0.0996,0.0964,0.053,0.532128514056225,5.520005332533454,1.0,0.04339856,1.9312995708154508,0.9094188746301435,0.37062937062937057,0.48221393764522463,0.5409605225882784
frozenset({'Sketch'}),frozenset({'Photoshop'}),0.0964,0.0996,0.053,0.5497925311203319,5.520005332533453,1.0,0.04339856,1.9999668202764973,0.9061982677257429,0.37062937062937057,0.4999917049315103,0.5409605225882784
frozenset({'绩效考核'}),frozenset({'培训'}),0.0954,0.0978,0.0514,0.5387840670859539,5.509039540756175,1.0,0.042069880000000004,1.9561336363636366,0.9047978726973507,0.36248236953455576,0.48878748291504537,0.5321732196370466
