support,itemsets
0.13333333333333333,"frozenset({'机器学习', 'spark'})"
0.13333333333333333,"frozenset({'sql', '数据分析'})"
0.13333333333333333,"frozenset({'javascript', 'css', '前端'})"
0.13333333333333333,"frozenset({'linux', 'java'})"
0.13333333333333333,"frozenset({'css', 'javascript'})"
0.13333333333333333,"frozenset({'mysql', 'docker', 'java', 'spring'})"
0.13333333333333333,"frozenset({'微服务', 'redis', 'spring'})"
0.13333333333333333,"frozenset({'linux', 'mysql', 'java'})"
0.13333333333333333,"frozenset({'linux', 'mysql', 'spring'})"
0.13333333333333333,"frozenset({'机器学习', 'spark', 'python'})"
0.13333333333333333,"frozenset({'微服务', 'docker', 'spring'})"
0.13333333333333333,"frozenset({'机器学习', 'spark', 'hadoop'})"
0.13333333333333333,"frozenset({'docker', 'java', '微服务'})"
0.13333333333333333,"frozenset({'mysql', 'docker', 'java'})"
0.13333333333333333,"frozenset({'spark', 'python', 'hadoop'})"
0.13333333333333333,"frozenset({'机器学习', 'python', 'hadoop'})"
0.13333333333333333,"frozenset({'linux', 'java', 'spring'})"
0.13333333333333333,frozenset({'css'})
0.13333333333333333,frozenset({'numpy'})
0.13333333333333333,"frozenset({'spark', 'hadoop'})"
0.13333333333333333,"frozenset({'机器学习', 'hadoop'})"
0.13333333333333333,frozenset({'前端'})
0.13333333333333333,"frozenset({'docker', '微服务'})"
0.13333333333333333,"frozenset({'css', '前端'})"
0.13333333333333333,"frozenset({'mysql', 'docker'})"
0.13333333333333333,"frozenset({'python', 'hadoop'})"
0.13333333333333333,frozenset({'spark'})
0.13333333333333333,"frozenset({'mysql', 'docker', 'spring'})"
0.13333333333333333,"frozenset({'sql', '数据分析', 'python'})"
0.13333333333333333,"frozenset({'微服务', 'java', 'redis', 'spring'})"
0.13333333333333333,"frozenset({'linux', 'mysql', 'java', 'spring'})"
0.13333333333333333,"frozenset({'微服务', 'docker', 'java', 'spring'})"
0.13333333333333333,"frozenset({'机器学习', 'spark', 'python', 'hadoop'})"
0.1,"frozenset({'redis', 'kafka', '微服务'})"
0.1,"frozenset({'java', 'kafka', '微服务'})"
0.1,"frozenset({'微服务', '分布式', 'kafka'})"
0.1,"frozenset({'redis', 'kafka', 'spring'})"
0.1,frozenset({'pandas'})
0.1,"frozenset({'mysql', '微服务'})"
0.1,frozenset({'深度学习'})
0.1,frozenset({'vue'})
0.1,frozenset({'mybatis'})
0.1,"frozenset({'css', 'vue'})"
0.1,"frozenset({'css', '前端', 'vue'})"
0.1,"frozenset({'分布式', 'spring'})"
0.1,"frozenset({'mybatis', 'mysql'})"
0.1,"frozenset({'vue', '前端'})"
0.1,"frozenset({'python', '深度学习'})"
0.1,"frozenset({'微服务', '分布式'})"
0.1,"frozenset({'css', 'javascript', 'vue'})"
0.1,"frozenset({'数据分析', 'pandas'})"
0.1,"frozenset({'vue', 'javascript'})"
0.1,"frozenset({'python', 'pandas'})"
0.1,"frozenset({'mybatis', 'spring'})"
0.1,"frozenset({'微服务', 'kafka'})"
0.1,"frozenset({'kafka', 'spring'})"
0.1,"frozenset({'mybatis', 'java'})"
0.1,"frozenset({'微服务', '分布式', 'java'})"
0.1,"frozenset({'数据分析', 'python', 'pandas'})"
0.1,"frozenset({'微服务', '分布式', 'redis'})"
0.1,"frozenset({'分布式', 'redis', 'spring'})"
0.1,"frozenset({'javascript', 'vue', '前端'})"
0.1,"frozenset({'java', '分布式', 'kafka', '微服务'})"
0.1,"frozenset({'redis', 'java', 'kafka', 'spring'})"
0.1,"frozenset({'redis', 'java', 'kafka', '微服务'})"
0.1,"frozenset({'java', '分布式', 'kafka', 'spring'})"
0.1,"frozenset({'javascript', 'css', '前端', 'vue'})"
0.1,"frozenset({'分布式', 'java', 'spring'})"
0.1,"frozenset({'redis', '分布式', 'kafka', '微服务'})"
0.1,"frozenset({'分布式', 'redis', 'java', 'kafka', 'spring'})"
0.1,"frozenset({'分布式', 'redis', '微服务', 'java', 'kafka'})"
0.1,"frozenset({'mysql', '微服务', 'java', 'spring'})"
0.1,"frozenset({'java', '分布式', 'redis', 'spring'})"
0.1,"frozenset({'redis', '分布式', 'kafka', 'spring'})"
0.1,"frozenset({'java', '分布式', 'redis', '微服务'})"
0.1,"frozenset({'mysql', '微服务', 'spring'})"
0.1,"frozenset({'mybatis', 'mysql', 'java'})"
0.1,"frozenset({'mybatis', 'mysql', 'java', 'spring'})"
0.1,"frozenset({'mybatis', 'mysql', 'spring'})"
0.1,"frozenset({'分布式', 'kafka', 'spring'})"
0.1,"frozenset({'java', 'kafka', 'spring'})"
0.1,"frozenset({'mybatis', 'java', 'spring'})"
0.1,"frozenset({'mysql', '微服务', 'java'})"
0.06666666666666667,"frozenset({'css', '前端', 'react'})"
0.06666666666666667,"frozenset({'数据分析', '可视化'})"
0.06666666666666667,frozenset({'tensorflow'})
0.06666666666666667,frozenset({'pytorch'})
0.06666666666666667,"frozenset({'k8s', 'docker'})"
0.06666666666666667,"frozenset({'css', 'react'})"
0.06666666666666667,"frozenset({'docker', 'redis'})"
0.06666666666666667,"frozenset({'linux', 'docker'})"
0.06666666666666667,frozenset({'k8s'})
0.06666666666666667,frozenset({'react'})
0.06666666666666667,"frozenset({'机器学习', '深度学习'})"
0.06666666666666667,"frozenset({'css', 'javascript', 'react'})"
0.06666666666666667,"frozenset({'数据分析', 'tableau'})"
0.06666666666666667,"frozenset({'sql', 'tableau'})"
0.06666666666666667,"frozenset({'深度学习', 'tensorflow'})"
0.06666666666666667,"frozenset({'前端', 'react'})"
0.06666666666666667,"frozenset({'sql', 'pandas'})"
0.06666666666666667,"frozenset({'python', '可视化'})"
0.06666666666666667,"frozenset({'python', 'tableau'})"
0.06666666666666667,"frozenset({'pytorch', 'python'})"
0.06666666666666667,"frozenset({'pytorch', '深度学习'})"
0.06666666666666667,"frozenset({'python', 'tensorflow'})"
0.06666666666666667,"frozenset({'numpy', '数据分析'})"
0.06666666666666667,"frozenset({'numpy', '深度学习'})"
0.06666666666666667,"frozenset({'k8s', 'spring'})"
0.06666666666666667,"frozenset({'k8s', '微服务'})"
0.06666666666666667,"frozenset({'mysql', 'redis'})"
0.06666666666666667,"frozenset({'linux', 'mybatis'})"
0.06666666666666667,"frozenset({'numpy', 'pandas'})"
0.06666666666666667,"frozenset({'pytorch', 'numpy'})"
0.06666666666666667,"frozenset({'javascript', 'react'})"
0.06666666666666667,"frozenset({'k8s', 'java'})"
0.06666666666666667,frozenset({'可视化'})
0.06666666666666667,frozenset({'tableau'})
0.06666666666666667,"frozenset({'k8s', 'docker', '微服务'})"
0.06666666666666667,"frozenset({'linux', 'java', 'mybatis'})"
0.06666666666666667,"frozenset({'mysql', 'docker', '微服务'})"
0.06666666666666667,"frozenset({'linux', 'docker', 'spring'})"
0.06666666666666667,"frozenset({'k8s', '微服务', 'java'})"
0.06666666666666667,"frozenset({'k8s', 'java', 'spring'})"
0.06666666666666667,"frozenset({'sql', 'python', 'tableau'})"
0.06666666666666667,"frozenset({'pytorch', 'python', '深度学习'})"
0.06666666666666667,"frozenset({'sql', '数据分析', 'pandas'})"
0.06666666666666667,"frozenset({'sql', 'python', 'pandas'})"
0.06666666666666667,"frozenset({'numpy', 'python', '深度学习'})"
0.06666666666666667,"frozenset({'pytorch', '深度学习', 'numpy'})"
0.06666666666666667,"frozenset({'pytorch', 'python', 'numpy'})"
0.06666666666666667,"frozenset({'numpy', '数据分析', 'python'})"
0.06666666666666667,"frozenset({'linux', 'spring', 'mybatis'})"
0.06666666666666667,"frozenset({'numpy', 'python', 'pandas'})"
0.06666666666666667,"frozenset({'numpy', '数据分析', 'pandas'})"
0.06666666666666667,"frozenset({'linux', 'mysql', 'mybatis'})"
0.06666666666666667,"frozenset({'前端', 'javascript', 'react'})"
0.06666666666666667,"frozenset({'k8s', '微服务', 'spring'})"
0.06666666666666667,"frozenset({'微服务', 'kafka', 'spring'})"
0.06666666666666667,"frozenset({'mysql', 'java', 'redis'})"
0.06666666666666667,"frozenset({'k8s', 'docker', 'java'})"
0.06666666666666667,"frozenset({'docker', 'java', 'redis'})"
0.06666666666666667,"frozenset({'docker', 'redis', 'spring'})"
0.06666666666666667,"frozenset({'docker', 'redis', '微服务'})"
0.06666666666666667,"frozenset({'linux', 'mysql', 'docker'})"
0.06666666666666667,"frozenset({'linux', 'docker', 'java'})"
0.06666666666666667,"frozenset({'k8s', 'docker', 'spring'})"
0.06666666666666667,"frozenset({'javascript', 'css', '前端', 'react'})"
0.06666666666666667,"frozenset({'linux', 'docker', 'java', 'spring'})"
0.06666666666666667,"frozenset({'linux', 'mysql', 'docker', 'java'})"
0.06666666666666667,"frozenset({'k8s', 'docker', 'java', '微服务'})"
0.06666666666666667,"frozenset({'k8s', 'docker', 'java', 'spring'})"
0.06666666666666667,"frozenset({'机器学习', 'python', '深度学习'})"
0.06666666666666667,"frozenset({'数据分析', 'python', '可视化'})"
0.06666666666666667,"frozenset({'数据分析', 'python', 'tableau'})"
0.06666666666666667,"frozenset({'python', '深度学习', 'tensorflow'})"
0.06666666666666667,"frozenset({'微服务', 'java', 'kafka', 'spring'})"
0.06666666666666667,"frozenset({'k8s', '微服务', 'java', 'spring'})"
0.06666666666666667,"frozenset({'微服务', 'docker', 'redis', 'spring'})"
0.06666666666666667,"frozenset({'mysql', 'docker', 'java', '微服务'})"
0.06666666666666667,"frozenset({'docker', 'java', 'redis', '微服务'})"
0.06666666666666667,"frozenset({'k8s', '微服务', 'docker', 'spring'})"
0.06666666666666667,"frozenset({'linux', 'mysql', 'docker', 'spring'})"
0.06666666666666667,"frozenset({'mysql', 'docker', '微服务', 'spring'})"
0.06666666666666667,"frozenset({'docker', 'java', 'redis', 'spring'})"
0.06666666666666667,"frozenset({'微服务', '分布式', 'spring'})"
0.06666666666666667,"frozenset({'sql', '数据分析', 'tableau'})"
0.06666666666666667,"frozenset({'linux', 'java', 'spring', 'mybatis'})"
0.06666666666666667,"frozenset({'微服务', 'redis', 'kafka', 'spring'})"
0.06666666666666667,"frozenset({'微服务', '分布式', 'kafka', 'spring'})"
0.06666666666666667,"frozenset({'linux', 'mysql', 'java', 'mybatis'})"
0.06666666666666667,"frozenset({'微服务', '分布式', 'java', 'spring'})"
0.06666666666666667,"frozenset({'numpy', '数据分析', 'python', 'pandas'})"
0.06666666666666667,"frozenset({'linux', 'mysql', 'spring', 'mybatis'})"
0.06666666666666667,"frozenset({'pytorch', 'python', '深度学习', 'numpy'})"
0.06666666666666667,"frozenset({'sql', '数据分析', 'python', 'pandas'})"
0.06666666666666667,"frozenset({'k8s', 'docker', '微服务', 'java', 'spring'})"
0.06666666666666667,"frozenset({'docker', 'linux', 'mysql', 'java', 'spring'})"
0.06666666666666667,"frozenset({'sql', '数据分析', 'python', 'tableau'})"
0.06666666666666667,"frozenset({'微服务', '分布式', 'redis', 'spring'})"
0.06666666666666667,"frozenset({'redis', 'docker', '微服务', 'java', 'spring'})"
0.06666666666666667,"frozenset({'docker', 'mysql', '微服务', 'java', 'spring'})"
0.06666666666666667,"frozenset({'redis', '微服务', 'java', 'kafka', 'spring'})"
0.06666666666666667,"frozenset({'分布式', '微服务', 'java', 'kafka', 'spring'})"
0.06666666666666667,"frozenset({'mybatis', 'linux', 'mysql', 'java', 'spring'})"
0.06666666666666667,"frozenset({'分布式', 'redis', '微服务', 'java', 'spring'})"
0.06666666666666667,"frozenset({'分布式', 'redis', '微服务', 'kafka', 'spring'})"
0.06666666666666667,"frozenset({'分布式', 'redis', '微服务', 'java', 'kafka', 'spring'})"
